proc rank,px,py,nx,ny,time,comm. time,omega 
3,2,2,800,800,4701635000000000000.000000,256652000000000000.000000,1.950000
3,2,2,800,800,4696298000000000000.000000,232820000000000000.000000,1.950000
3,2,2,800,800,4685917000000000000.000000,233361000000000000.000000,1.950000
3,2,2,800,800,4654615000000000000.000000,224598000000000000.000000,1.950000
3,2,2,800,800,4616683000000000000.000000,206636000000000000.000000,1.950000
3,2,2,800,800,4636635000000000000.000000,195651000000000000.000000,1.950000
3,2,2,800,800,4616890000000000000.000000,204451000000000000.000000,1.950000
3,2,2,800,800,4637041000000000000.000000,217748000000000000.000000,1.950000
3,2,2,800,800,4592434999999999488.000000,191831000000000000.000000,1.950000
3,2,2,800,800,4648533000000000000.000000,213902000000000000.000000,1.950000
3,2,2,800,800,4583305999999999488.000000,178556000000000000.000000,1.950000
3,2,2,800,800,4602063999999999488.000000,194885000000000000.000000,1.950000
3,2,2,800,800,4602728999999999488.000000,198394000000000000.000000,1.950000
3,2,2,800,800,4645641000000000000.000000,219854000000000000.000000,1.950000
3,2,2,800,800,4820813000000000000.000000,340169000000000000.000000,1.950000
3,2,2,800,800,4691700000000000000.000000,231357000000000000.000000,1.950000
3,2,2,800,800,4600762999999999488.000000,190772000000000000.000000,1.950000
3,2,2,800,800,4604756999999999488.000000,183320000000000000.000000,1.950000
3,2,2,800,800,4591346999999999488.000000,178084000000000000.000000,1.950000
3,2,2,800,800,4618548000000000000.000000,203224000000000000.000000,1.950000
3,2,2,800,800,4675734000000000000.000000,250947000000000000.000000,1.950000
3,2,2,800,800,4607777999999999488.000000,192358000000000000.000000,1.950000
3,2,2,800,800,4626130000000000000.000000,202677000000000000.000000,1.950000
3,2,2,800,800,4594160999999999488.000000,180150000000000000.000000,1.950000
